year,0
2005,213
2006,244
2007,268
2008,249
2009,256
2010,285
2011,324
2012,362
2013,415
2014,509
2015,476
2016,583
2017,702
2018,680
2019,555
2020,663
2021,655
2022,532
2023,603
2024,651
2025,828
2026,544
