year,n_total,n_noise,noise_pct
2005,213,87,40.85
2006,244,101,41.39
2007,268,102,38.06
2008,249,102,40.96
2009,256,95,37.11
2010,285,111,38.95
2011,324,110,33.95
2012,362,131,36.19
2013,415,167,40.24
2014,509,208,40.86
2015,476,210,44.12
2016,583,270,46.31
2017,702,286,40.74
2018,680,273,40.15
2019,555,227,40.9
2020,663,265,39.97
2021,655,250,38.17
2022,532,239,44.92
2023,603,254,42.12
2024,651,280,43.01
2025,828,352,42.51
2026,544,226,41.54
